Year,Current prices
1948,0.5
1949,0.5
1950,0.6
1951,0.6
1952,0.7
1953,0.7
1954,0.8
1955,0.9
1956,0.9
1957,1.0
1958,1.0
1959,1.1
1960,1.2
1961,1.2
1962,1.3
1963,1.4
1964,1.5
1965,1.6
1966,1.8
1967,1.9
1968,2.0
1969,2.2
1970,2.5
1971,2.8
1972,3.2
1973,3.7
1974,4.1
1975,5.2
1976,6.1
1977,7.2
1978,8.3
1979,9.9
1980,11.6
1981,13.0
1982,14.3
1983,15.7
1984,16.9
1985,18.6
1986,20.0
1987,22.2
1988,24.9
1989,27.5
1990,30.0
1991,31.6
1992,32.7
1993,34.5
1994,36.3
1995,38.1
1996,40.7
1997,42.7
1998,44.7
1999,46.7
2000,49.3
2001,51.3
2002,53.3
2003,56.3
2004,59.2
2005,62.6
2006,65.9
2007,69.1
2008,71.3
2009,69.3
2010,72.0
2011,74.4
2012,76.7
2013,79.7
2014,83.4
2015,85.8
2016,89.2
2017,93.2
2018,96.3
2019,100.0
2020,94.2
2021,102.2
2022,112.2
