Year,Annual CO2 Emissions (tonnes),Annual CO2 Emissions (million tonnes)
1750,9305937,9.3
1751,9407229,9.4
1752,9505168,9.5
1753,9610490,9.6
1754,9733580,9.7
1755,9793468,9.8
1756,9909914,9.9
1757,10093936,10.1
1758,10216358,10.2
1759,10338854,10.3
1760,10514331,10.5
1761,10747885,10.7
1762,10952198,11.0
1763,11191592,11.2
1764,11396982,11.4
1765,11643486,11.6
1766,11876080,11.9
1767,12152509,12.2
1768,12466936,12.5
1769,12780074,12.8
1770,13097216,13.1
1771,13369488,13.4
1772,13623507,13.6
1773,13808138,13.8
1774,14012415,14.0
1775,14338920,14.3
1776,14654124,14.7
1777,14959537,15.0
1778,15243483,15.2
1779,15535235,15.5
1780,15878726,15.9
1781,16234383,16.2
1782,16580954,16.6
1783,17062752,17.1
1784,17471092,17.5
1785,17961464,18.0
1786,18443832,18.4
1787,18855466,18.9
1788,19282564,19.3
1789,19859760,19.9
1790,20394430,20.4
1791,20928086,20.9
1792,21456558,21.5
1793,21813614,21.8
1794,22072648,22.1
1795,21864574,21.9
1796,21582768,21.6
1797,21536814,21.5
1798,22527018,22.5
1799,26855000,26.9
1800,31340080,31.3
1801,30736626,30.7
1802,30377368,30.4
1803,28241450,28.2
1804,27790074,27.8
1805,29295006,29.3
1806,30908602,30.9
1807,32583656,32.6
1808,33701640,33.7
1809,34522536,34.5
1810,35402028,35.4
1811,36155070,36.2
1812,36741616,36.7
1813,37359772,37.4
1814,38181804,38.2
1815,39019170,39.0
1816,39265496,39.3
1817,41766344,41.8
1818,43769000,43.8
1819,43316496,43.3
1820,42567188,42.6
1821,43493436,43.5
1822,45073956,45.1
1823,46676420,46.7
1824,48136788,48.1
1825,49563788,49.6
1826,50101644,50.1
1827,52047628,52.0
1828,52630228,52.6
1829,53242880,53.2
1830,67724220,67.7
1831,64486136,64.5
1832,62558720,62.6
1833,61924740,61.9
1834,65802124,65.8
1835,72197420,72.2
1836,78544550,78.5
1837,75253620,75.3
1838,73585960,73.6
1839,75786170,75.8
1840,80790880,80.8
1841,81330410,81.3
1842,85193130,85.2
1843,88569550,88.6
1844,93955130,94.0
1845,99778424,99.8
1846,95493680,95.5
1847,101822930,101.8
1848,108978020,109.0
1849,117350130,117.4
1850,122350150,122.4
1851,116411176,116.4
1852,115997620,116.0
1853,115358070,115.4
1854,139012290,139.0
1855,130169360,130.2
1856,140081200,140.1
1857,137573280,137.6
1858,134833460,134.8
1859,149702940,149.7
1860,167950430,168.0
1861,175047600,175.0
1862,169470990,169.5
1863,180224830,180.2
1864,193909870,193.9
1865,205488110,205.5
1866,211731570,211.7
1867,217374130,217.4
1868,213219150,213.2
1869,223705520,223.7
1870,228494370,228.5
1871,242036510,242.0
1872,254988750,255.0
